Id,SalePrice
1461,133033
1462,153107
1463,209197
1464,171884
1465,184362
1466,185331
1467,182726
1468,161261
1469,170797
1470,111779
1471,190226
1472,94548
1473,87000
1474,144236
1475,118382
1476,387299
1477,269266
1478,321645
1479,307473
1480,444418
1481,335248
1482,200838
1483,183876
1484,174872
1485,166826
1486,208575
1487,313111
1488,253530
1489,194421
1490,176412
1491,179904
1492,99748
1493,262681
1494,296570
1495,282131
1496,223329
1497,172813
1498,152895
1499,150628
1500,141129
1501,182726
1502,182726
1503,307476
1504,205591
1505,223276
1506,182726
1507,257561
1508,182726
1509,154798
1510,130655
1511,135103
1512,146554
1513,182726
1514,143815
1515,213969
1516,206950
1517,168418
1518,138833
1519,257571
1520,182726
1521,127262
1522,167762
1523,104903
1524,128951
1525,118530
1526,120937
1527,103750
1528,134637
1529,151858
1530,243211
1531,118182
1532,95237
1533,138505
1534,125549
1535,156075
1536,182726
1537,88426
1538,170595
1539,168920
1540,101607
1541,146994
1542,143158
1543,182726
1544,74154
1545,97785
1546,123848
1547,126333
1548,124275
1549,110346
1550,129469
1551,109369
1552,117632
1553,142396
1554,121815
1555,158156
1556,77711
1557,113764
1558,94144
1559,182726
1560,139043
1561,112861
1562,120510
1563,110271
1564,182726
1565,146407
1566,182726
1567,78315
1568,182726
1569,172435
1570,165008
1571,131248
1572,140909
1573,276096
1574,182726
1575,191502
1576,226515
1577,226708
1578,149104
1579,152965
1580,182726
1581,167688
1582,122453
1583,331305
1584,216409
1585,182726
1586,66623
1587,109804
1588,125150
1589,99292
1590,142954
1591,99324
1592,138707
1593,182726
1594,194462
1595,107147
1596,201245
1597,169812
1598,206925
1599,198158
1600,185331
1601,71531
1602,103404
1603,82283
1604,268872
1605,240118
1606,177588
1607,182726
1608,186034
1609,213527
1610,157998
1611,158232
1612,173696
1613,182726
1614,124754
1615,87796
1616,76039
1617,90261
1618,111497
1619,135365
1620,190074
1621,126521
1622,111664
1623,262091
1624,193097
1625,120887
1626,150278
1627,185356
1628,182726
1629,175345
1630,371049
1631,227623
1632,269694
1633,166221
1634,180097
1635,182726
1636,161139
1637,181686
1638,182726
1639,174167
1640,182726
1641,175672
1642,217835
1643,182726
1644,182726
1645,182726
1646,165201
1647,158859
1648,182726
1649,182726
1650,109909
1651,119642
1652,93781
1653,98414
1654,145966
1655,138807
1656,138309
1657,146252
1658,133561
1659,116900
1660,182726
1661,486998
1662,371481
1663,333352
1664,461753
1665,349085
1666,302179
1667,299363
1668,330899
1669,283895
